Pořadí,Tým,Body,$xPts$,$P-xPts$,Góly,$xG$,Obdržené,$xGA$
1,Leicester,81,68.94,12.06,68,68.42,36,45.02
2,Arsenal,71,77.01,-6.01,65,73.53,36,33.86
3,Tottenham,70,69.41,0.59,69,63.42,35,37.08
4,Manchester United,66,56.44,9.56,49,45.42,35,39.66
5,Manchester City,66,70.14,-4.14,71,66.2,41,37.47
6,Southampton,63,61.08,1.92,59,56.2,41,44.29
7,West Ham,62,49.8,12.2,65,54.4,51,55.48
8,Liverpool,60,63.29,-3.29,63,54.37,50,37.88
9,Stoke,51,48.3,2.7,41,42.63,55,54.35
10,Chelsea,50,59.62,-9.62,59,54.48,53,44.63
11,Swansea,47,42.4,4.6,42,39.96,52,53.63
12,Everton,47,52.69,-5.69,59,53.98,55,54.75
13,Watford,45,48.25,-3.25,40,43.2,50,51.85
14,West Bromwich Albion,43,42.3,0.7,34,39.75,48,51.94
15,Crystal Palace,42,44.89,-2.89,39,42.51,51,52.94
16,Bournemouth,42,43.77,-1.77,45,38.71,67,53.97
17,Sunderland,39,40.52,-1.52,48,40.52,62,58.85
18,Newcastle United,37,40.21,-3.21,44,37.61,65,55.42
19,Norwich,34,39.18,-5.18,39,39.19,67,58.93
20,Aston Villa,17,29.81,-12.81,27,26.53,76,59.01
